clade_name	ACC0147	ACC0163	ACC0048	ACC0102	ACC0034	ACC0138	ACC0096	ACC0049	MiRES012	ACC0080	ACC0032	ACC0108	ACC0097	MiRES005	ACC0265	ACC0110	ACC0192	ACC0013	ACC0114	ACC0136	MiRES011	ACC0169	MiRES003	ACC0135	ACC0066	MiRES009	MiREL020	MIRES007	ACC0009	ACC0031	MiRES004
k__Bacteria|p__Firmicutes|c__CFGB9989	0.00818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1262	0.00785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1347	0.00774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.00675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261
k__Bacteria|p__Firmicutes|c__CFGB45507	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75721	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2957	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507	0.00011	0.00751	0.0	0.0	0.0	0.0	0.0	0.10365	0.0	0.0	0.0	0.08944	0.0003	0.0	0.08135	0.0	0.0	0.00501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16176	0.0	0.14584	0.0	0.02051	0.06057
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	51.8369	4.02749	0.80066	0.0	6.48146	5.2702	2.30452	28.42074	0.30388	4.07683	6.86408	12.55123	2.17014	7.50484	0.0	21.76933	0.11468	22.773	6.5841	17.76146	8.01655	0.03337	15.46135	0.03087	35.23885	5.03128	4.21232	5.58359	32.08654	1.91973	3.80323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	19.59555	39.62058	22.36861	49.01996	35.4776	55.36557	8.32152	47.34474	3.64258	62.53599	46.23036	62.09449	39.77896	64.61724	56.41505	40.69201	12.25649	41.05945	34.79339	67.10421	2.95837	63.33562	55.62585	42.90769	30.04435	42.49957	59.38401	47.93209	28.21132	39.61192	49.48212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	7.00918	43.13717	59.49045	23.80645	11.26181	26.04312	13.27425	9.92915	52.435	20.31137	26.55984	6.82953	4.67013	21.86019	27.85774	6.87233	0.4261	32.47852	27.32215	3.27847	51.64125	23.25525	11.60625	9.49629	0.30347	19.81076	22.51646	32.83607	30.11438	17.66117	24.51956
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	5.72763	1.30586	0.31474	0.05508	4.63305	0.97495	1.68353	3.44041	1.3385	0.6241	1.10817	7.26127	1.86248	0.07342	0.02845	9.63884	0.03721	0.12751	13.7424	1.21905	0.76675	5.38825	1.13352	0.01115	0.0	0.08979	2.27618	1.10035	0.24195	13.88352	1.72368
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	5.05362	4.05793	5.86133	1.17874	1.93243	2.95065	0.22131	4.06492	0.32564	1.29951	1.30141	1.22369	0.28503	0.22928	2.73856	12.81958	46.89159	1.68841	7.08309	1.16147	1.12409	0.52909	3.30562	7.83478	21.29947	0.91513	2.06524	1.5424	0.21958	0.46087	0.23421
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2.76019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	1.58142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08017
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.88648	0.32638	1.24165	0.13715	0.36329	3.90327	0.00278	0.94325	0.00151	1.75438	1.2848	0.631	2.27664	0.4903	9.10656	0.52894	0.05349	0.25699	0.39395	0.35797	0.01088	0.63414	3.59223	11.07491	2.51781	2.56014	3.3305	0.3217	3.81249	0.91218	0.61692
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.52493	1.14554	0.35572	0.0	0.08027	0.25198	0.013	1.40266	0.07478	1.89545	0.11734	0.9141	0.04404	0.24161	0.45186	1.11966	0.0	0.07447	0.30414	6.20982	0.0	0.0	1.1406	0.0	1.35948	0.98494	1.14749	0.12811	1.77599	0.3378	0.46842
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	0.50264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16974
