#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SCD66_metaphlan	SCD67_metaphlan	SCD68_metaphlan	SCD69_metaphlan	SCD70_metaphlan	SCD73_metaphlan	SCD72_metaphlan	SCD82_metaphlan	SCD75_metaphlan	SCD76_metaphlan	SCD77_metaphlan	SCD83_metaphlan	SCD137_metaphlan	SCD79_metaphlan	SCD80_metaphlan	SCD84_metaphlan	SCD81_metaphlan	SCD106_metaphlan	SCD88_metaphlan	SCD91_metaphlan	SCD86_metaphlan	SCD138_metaphlan	SCD107_metaphlan	SCD90_metaphlan	SCD87_metaphlan	SCD92_metaphlan	SCD154_metaphlan	SCD93_metaphlan	SCD94_metaphlan	SCD139_metaphlan	SCD109_metaphlan	SCD129_metaphlan	SCD110_metaphlan	SCD97_metaphlan	SCD98_metaphlan	SCD99_metaphlan	SCD112_metaphlan	SCD100_metaphlan	SCD122_metaphlan	SCD101_metaphlan	SCD130_metaphlan	SCD103_metaphlan	SCD104_metaphlan	SCD140_metaphlan	SCD102_metaphlan	SCD105_metaphlan	SCD113_metaphlan	SCD145_metaphlan	SCD156_metaphlan	SCD141_metaphlan	SCD114_metaphlan	SCD115_metaphlan	SCD116_metaphlan	SCD111_metaphlan	SCD147_metaphlan	SCD142_metaphlan	SCD143_metaphlan	SCD117_metaphlan	SCD132_metaphlan	SCD124_metaphlan	SCD125_metaphlan	SCD126_metaphlan	SCD118_metaphlan	SCD119_metaphlan	SCD150_metaphlan	SCD157_metaphlan	SCD127_metaphlan	SCD133_metaphlan	SCD128_metaphlan	SCD136_metaphlan	SCD144_metaphlan	SCD151_metaphlan	SCD152_metaphlan	SCD153_metaphlan
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta|t__SGB14809	0.08475	0.00896	0.29283	0.8088	0.04888	0.66833	0.15465	0.0	0.0	0.04546	1.28715	0.00189	0.0	0.39544	0.0	0.2755	0.01431	0.19687	0.46493	0.39422	0.66289	0.62794	0.79549	0.03091	0.13754	0.78983	0.34908	0.69217	0.51315	0.0	0.0	0.45966	0.0	0.17369	0.0823	0.71478	0.2555	0.07624	0.24353	1.28522	0.00071	0.00029	0.14602	0.16626	1.19447	0.79592	0.05006	0.0	2.69343	0.82899	0.02625	1.00194	0.1563	0.00514	0.0	0.05154	0.10324	0.2387	0.14949	1.95513	0.0	0.0	0.00133	0.0	0.20565	0.00648	0.11587	0.4739	0.04802	0.2089	0.00994	0.0	0.02641	0.63854
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718|g__GGB51441|s__GGB51441_SGB71759|t__SGB71759	0.07642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00855	0.0	0.0	0.0	0.0	0.04288	0.0	0.0	0.0	0.0	0.0	0.0	0.00569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09452	0.0568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03292	0.05463	0.0	0.18343	0.0	0.01378	0.11849	0.0	0.0	0.0	0.05678	0.0	0.18826	0.12613	0.01137	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques|t__SGB4563	0.0711	8.82142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00402	0.14976	0.0	0.0	0.0	0.90868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58686	1.52079	0.0	0.0	0.0	1.65834	0.0	2.61073	0.0	2.43669	7.91458	6.39197	0.0	0.0	0.79546	0.92027	0.12564	0.59878	0.0	0.16974	0.0	10.61537	2.41278	4.13219	0.0	3.80661	0.0	1.43911	0.0	0.0	0.45304	0.04684	2.23062	0.0	0.0	0.0	2.31481	0.0	0.0	0.0	6.03416	0.0	0.27266	0.0	0.0	0.0	0.0	16.60862
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__SGB4936	0.06733	0.0	0.0	0.0	0.0	0.02917	0.0	0.02224	0.0	0.0	0.05732	0.02224	0.11256	0.00334	0.0	0.0	0.21047	0.0	0.02105	0.0	0.04844	0.0	0.0	0.0	0.0	0.0	0.04599	0.0	0.0	0.0	0.0	0.0	0.0	0.03047	0.0	0.00968	0.0	0.00048	0.0	0.00595	0.0	0.06771	0.01604	0.5206	0.0	0.0	0.01651	0.0	0.02506	0.00734	0.0	0.11162	0.0	0.08528	0.00313	0.00463	0.00067	0.0	0.0	0.0	0.0	0.0	0.09565	0.0	0.18749	0.04318	0.0	0.0	0.0	0.0	0.01983	0.0	0.05678	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9453|s__GGB9453_SGB14845|t__SGB14845	0.06575	0.0	0.0	0.0	0.09357	0.0	0.06766	0.20569	0.0	0.0	0.02166	0.4483	0.19113	0.0	0.0501	0.0	0.03108	0.0	0.05907	0.0	0.37225	0.0	0.0	0.19171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47494	0.0	0.0	0.0	0.21489	0.0	0.0	0.0	0.0	0.0	0.0	0.00667	0.0	0.15512	0.0	0.0	0.20607	0.01014	0.0	0.23495	0.0	0.0	0.0	0.0	0.0	0.64875	0.0	0.0	0.0	0.0	0.03775	0.0	0.0	0.0	0.0	0.0	0.0	0.17651	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Merdibacter|s__Merdibacter_massiliensis|t__SGB29307	0.06405	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4810	0.06382	0.02233	0.0	0.10929	0.08819	0.0	0.09209	0.0	0.0	0.0	0.0	0.31014	0.0	0.0	0.0	0.0	0.30469	0.0267	0.14257	0.0	0.0	0.0	0.0	0.09706	0.0	7.53332	0.0	0.0	1.04498	0.0	0.0	0.0	0.0	0.18916	0.0	0.00358	0.0	0.06554	0.0	0.0	0.11882	1.04986	0.03035	2.10035	0.0	0.0	0.32419	0.0	0.33154	0.0	0.25312	0.0	0.88549	0.03862	0.07312	0.00047	0.0	0.0	0.44684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12286	0.0	0.45141	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens|t__SGB14993	0.05945	0.0494	1.23274	0.98399	0.99475	1.5332	0.79921	0.50026	0.0	0.0	0.00131	0.29151	0.42187	0.0	0.0	0.40743	0.2339	0.00039	0.82362	1.67522	0.30613	0.0	0.74832	1.51937	0.0	2.49181	0.65708	1.09141	0.38168	0.0	0.0	1.02543	0.0	0.89894	0.50308	0.01019	0.26183	0.9745	0.21997	0.0	0.35172	0.23191	0.98831	1.74295	2.27557	0.94414	0.58821	0.0	0.0	0.12399	0.63195	0.18192	0.31388	1.32255	0.03477	0.90565	0.14765	0.0078	1.01482	0.0	0.97754	0.12657	0.77548	0.0	1.05124	0.24884	0.13365	1.82307	2.20914	0.0	0.07932	0.0	1.05963	0.7676
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011|s__GGB80011_SGB15265|t__SGB15265	0.05087	0.06466	0.0	0.0	0.0	0.0	0.0	1.20754	0.0	0.0	0.08861	1.90578	0.2129	0.0	0.0	0.0	0.45476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95667	0.0	0.05126	0.0	0.0	0.0	0.0	0.15902	0.17396	1.92897	0.5085	0.0	0.0	0.21505	0.0	0.0	0.98751	0.0	0.0	0.11568	0.0	0.0	1.11484	0.49804	1.25855	0.0	0.0	0.0	0.0	0.00793	0.0	0.0	0.15693	0.04683	0.0	0.0	0.0	0.0	0.0	1.52874	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__SGB4960	0.04702	0.0	0.25082	0.0	0.09373	0.57893	0.0	0.09505	0.0	0.0	0.0	0.05999	0.37635	0.0	0.0	0.0	0.0	0.0	0.32024	0.0	0.0	2.42865	0.0	0.0	0.0	0.0	0.11528	0.0	0.15755	0.0	0.0	0.00408	0.0	0.0	0.00732	0.0	0.0	0.0	0.0	0.0	0.0	1.07061	0.36183	0.0	0.0	0.18715	0.0	0.0	0.0	0.07864	1.94766	0.64222	0.1011	0.32772	0.05734	0.09373	0.0	0.16511	0.0	0.0	0.0	0.0	0.05029	0.0	0.0	0.02695	0.0	0.04132	0.0	0.0	0.12879	0.0	0.0	0.1684
